season,episodes,premiere_date,premiere_viewers,finale_date,finale_viewers,avg_viewers,rank
1,"August 29, 2005",10.51,"May 15, 2006",10.24,9.2,55
2,"August 21, 2006",9.37,"April 2, 2007",8.12,9.3,51
3,"September 17, 2007",7.51,"February 18, 2008",7.40,8.2,73
4,"September 1, 2008",6.53,"May 15, 2009",3.32,6.1,68
5,"April 4, 2017",3.83,"May 30, 2017",2.30,4.0,115
