episode_overall,episode_in_season,Title,Directed by,Written by,air_date,prod_code,viewers_millions
64,11,"""Survivor Man""",Paul Feig,Steve Carell,"November 8, 2007",4011,8.27[86]
65,12,"""The Deposition""",Julian Farino,Lester Lewis,"November 15, 2007",4012,8.80[87]
66,13,"""Dinner Party""",Paul Feig,Gene Stupnitsky & Lee Eisenberg,"April 10, 2008",4013,9.33[88]
67,14,"""Chair Model""",Jeffrey Blitz,B. J. Novak,"April 17, 2008",4014,9.86[89]
68,15,"""Night Out""",Ken Whittingham,Mindy Kaling,"April 24, 2008",4015,7.69[90]
69,16,"""Did I Stutter?""",Randall Einhorn,Brent Forrester & Justin Spitzer,"May 1, 2008",4016,7.75[91]
70,17,"""Job Fair""",Tucker Gates,Lee Eisenberg & Gene Stupnitsky,"May 8, 2008",4017,7.16[92]
71,18,"""Goodbye, Toby""‡",Paul Feig,Jennifer Celotta & Paul Lieberstein,"May 15, 2008",4018,8.21[93]
72,19,,,,,4019,
73,1,"""Weight Loss""‡",Paul Feig,Lee Eisenberg & Gene Stupnitsky,"September 25, 2008",5001,9.34[96]
74,2,,,,,5002,
,,,,,,,
75,3,"""Business Ethics""",Jeffrey Blitz,Ryan Koh,"October 9, 2008",5003,9.25[97]
76,4,"""Baby Shower""",Greg Daniels,Aaron Shure,"October 16, 2008",5004,8.28[98]
77,5,"""Crime Aid""",Jennifer Celotta,Charlie Grandy,"October 23, 2008",5005,7.98[99]
78,6,"""Employee Transfer""",David Rogers,Anthony Q. Farrell,"October 30, 2008",5006,9.51[100]
79,7,"""Customer Survey""",Stephen Merchant,Lester Lewis,"November 6, 2008",5007,8.55[101]
80,8,"""Business Trip""",Randall Einhorn,Brent Forrester,"November 13, 2008",5009,8.30[102]
81,9,"""Frame Toby""",Jason Reitman,Mindy Kaling,"November 20, 2008",5008,8.31[103]
82,10,"""The Surplus""",Paul Feig,Gene Stupnitsky & Lee Eisenberg,"December 4, 2008",5013,8.46[104]
83,11,"""Moroccan Christmas""",Paul Feig,Justin Spitzer,"December 11, 2008",5010,8.76[105]
84,12,"""The Duel""",Dean Holland,Jennifer Celotta,"January 15, 2009",5011,8.49[106]
85,13,"""Prince Family Paper""",Asaad Kelada,B. J. Novak,"January 22, 2009",5012,8.76[107]
86,14,"""Stress Relief""‡",Jeffrey Blitz,Paul Lieberstein,"February 1, 2009",5016,22.91[108]
87,15,,,,,5017,
,,,,,,,
88,16,"""Lecture Circuit: Part 1""",Ken Kwapis,Mindy Kaling,"February 5, 2009",5014,8.48[109]
89,17,"""Lecture Circuit: Part 2""",Ken Kwapis,Mindy Kaling,"February 12, 2009",5015,9.00[110]
90,18,"""Blood Drive""",Randall Einhorn,Brent Forrester,"March 5, 2009",5018,8.54[111]
91,19,"""Golden Ticket""",Randall Einhorn,Mindy Kaling,"March 12, 2009",5019,7.67[112]
92,20,"""New Boss""",Paul Feig,Lee Eisenberg & Gene Stupnitsky,"March 19, 2009",5020,8.07[113]
